Id,Profile,Relationship Role,Nearest Neighbors
1047554195,"nan nan Teacher, I had a swaggy teacher and I wanna help kids like she helped me nan I wanna be a socials teacher and I�d very much like to go to sfu in Burnaby  I like painting, anime, games, cosplay, you know like- nerd stuff far from other towns/cities (like yours!) nan He/they Non-binary 2 nan Idk my careers teacher is making me sign up  I would very much like them to be LGBT+ nan nan nan",mentee,"[('1047513327', 1.0, 'mentor'), ('1047541564', 1.0, 'mentee'), ('1047584581', 1.0, 'mentee'), ('1047557268', 1.0, 'mentee')]"
1047585820,"UBC - BSc Integrated Science, MSc Rehabilitation Science nan I'm interested in being a clinician-scientist! I'm currently working as a research coordinator as I finished my MSc earlier this year. I am hoping to apply for more schooling to complete more research (PhD) and a health professional degree (I'm debating between MD/DO or RN) I'm loving research and all the opportunities to collaborate with peers and mentors across the country and internationally! I also would love to have more in-person experience as most of my MSc was online due to COVID. :) I applied for UBC, Toronto, Queen's and McGill. I was accepted to McGill, Queen's and UBC, and waitlisted (? or maybe rejected...) to Toronto. I was tempted to move across the country to McGill and Queen's, however, I ultimately decided to stay in Vancouver as I was going through lots of personal change at that time and I wasn't sure if I would thrive if I moved all the way across the country at that time. After my first year, I thought I would major in chemistry or physics, because I really enjoyed first year chem/phys. However, I goofed and pushed back taking term 2 chemistry until the summer and that ruled out a lot of the programs I was eligible to 'major' in. So, I decided to go with Integrated Science. Although there were definitely some challenges (such as getting into laboratory courses - I ended up doing none!), I was able to take advantage of some Integrated Science-specific courses, such as Go Global Seminars and was able to go to Iceland and Hawaii for systems thinking in sustainability courses, which were phenomenal learning experiences. Near the end of my undergraduate degree, I was reflecting on the different involvements and experiences I've had, and realized that research was a huge gap so that really motivated me to pursue an MSc to get the full research experience!   nan Tennis - big fan, playing about 2-3 times/week. Singing - with UBC choir. Cooking - I am trying out TikTok easy recipes. Gaming - Stardew Valley (when I have time and not super behind!). Reading - trying to get back into reading on the Libby app nan I have an urban background she/her/hers No nan Time management, 'adulting' (transition to moving out of family home), finding motivation, organizing for post-secondary applications, balancing extracurricularsI've mostly been involved with student government, peer leadership, residence life, recreation, and clinical research labs!  nan Nothing too special from my end - I'm an only child, been in Metro Vancouver since I was 3 years old, also trying to figure things out everyday!  nan nan nan",mentor,"[('1047550236', 0.97, 'mentor'), ('1047583027', 0.96, 'mentor'), ('1047581892', 0.96, 'mentor'), ('1047582596', 0.96, 'mentor')]"
1047537906,nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan,mentee,"[('1047515114', 1.0, 'mentee'), ('1047516619', 1.0, 'mentee'), ('1047540973', 1.0, 'mentee'), ('1047513225', 1.0, 'mentee')]"
1047499338,"nan Alberni Secondary emergency medicine  nan I like science and biology  I like :anime, cosplay, volunteering, girl guides.      dislikes: sports, strawberries, bacon. far from other towns/cities (like yours!) nan , 2 , 2 , 1 nan nan nan nan nan nan",mentee,"[('1047498720', 1.0, 'mentee'), ('1047501149', 1.0, 'mentor'), ('1047496812', 1.0, 'mentee'), ('1047499573', 1.0, 'mentee')]"
1047639701,"nan Alberni Secondary musician or baker nan not sure play music, bake bread No preference nan he/him nan talented nan struggling with school, being less introverted Keyano college  Once every two weeks Too busy nan",mentee,"[('1047501368', 1.0, 'mentee'), ('1047497874', 1.0, 'mentee'), ('1047499341', 1.0, 'mentee'), ('1047498733', 1.0, 'mentee')]"
1047499334,"nan Alberni Secondary CSI nan biology, biking, cooking gaming, biking, skating, skiing far from other towns/cities (like yours!) nan , 1 , 0 , 2 nan nan nan nan nan nan",mentee,"[('1047499337', 1.0, 'mentee'), ('1047498734', 1.0, 'mentee'), ('1047496812', 1.0, 'mentee'), ('1047501149', 1.0, 'mentor')]"
1047554194,nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan,mentee,"[('1047515114', 1.0, 'mentee'), ('1047537906', 1.0, 'mentee'), ('1047503435', 1.0, 'mentee'), ('1047516619', 1.0, 'mentee')]"
1047551394,nan nan My career i would choose would have to be professional basketball. nan Either Metals or engineering. Ride around and enjoy nature. Rural (a small town nan He no preference. 0 nan Learn stuff i do not know about. I am looking for someone who is talkative and outgoing. nan nan nan,mentee,"[('1047516882', 1.0, 'mentee'), ('1047498720', 1.0, 'mentee'), ('1047499573', 1.0, 'mentee'), ('1047548888', 1.0, 'mentee')]"
1047514152,"UBC, Electrical & Computer Engineering nan Software Engineer - because I wish to design technology that does good to lots of people. nan I worked with youth in a scouts-like setting - running afternoon programs, field trips, summer camps etc. I served in the military as a combat officer. I studied Electrical Engineering at UBC. Happy to talk about all these experiences if they're of interest to you :) Trail-run, backpack, ski, climb, play music and read books. Rural (a small town nan He, him no preference 1 nan Be of help I'd be happy to mentor anyone, regardless of anything they identify as. My partner is Indigenous and my best friends are LGBTQIAP2S+, so I'm comfortable and motivated to work with people of all backgrounds, especially if they may face adversity elsewhere. I immigrated to Canada so I'd also be happy to help someone to whom this experience/ insight is relevant. My academic experience is in technology and STEM fields, so I'd be of most practical help to anyone thinking about going into this world. nan nan nan",mentor,"[('1047549921', 0.99, 'mentor'), ('1047585216', 0.99, 'mentee'), ('1047516501', 0.99, 'mentor'), ('1047639738', 0.99, 'mentee')]"
10241,", 2 nan nan nan Graduated from bachelor of Science in Genetics. Current graduate student in cancer research  nan nan nan nan , 2 , 1 nan nan nan nan nan nan",mentor,"[('10330', 1.0, 'mentor'), ('1047487655', 1.0, 'mentor'), ('1047501471', 1.0, 'mentee'), ('1047499328', 1.0, 'mentee')]"
1047548722,"Langara College, Marketing Management nan A social worker because I understand how some people may be disadvantaged or need some support and I want to be able to help people grow as a person overall. nan I do not have much work experience except working 2 weeks in the past at the PNE, but I did finish high school and am currently in College. I enjoy playing video games and talking to people and being adventurous and trying new things, far from other towns/cities (like yours!) nan He/Him Female 1 nan I hope to have experience with talking to people from the opposite gender and overall improve my communication skills. I do not really have a preference except that I am wanting a match who is not very shy as I am a little shy at times. nan nan nan",mentor,"[('1047554104', 1.0, 'mentee'), ('1047551648', 1.0, 'mentee'), ('1047588327', 1.0, 'mentee'), ('1047549000', 1.0, 'mentee')]"
1047567624,"I�m a fourth-year Bachelor of Arts student at UBC, where I study English Literature and History. nan In the future, I'm hoping to become a high school teacher! Growing up, I've always loved reading, and this has definitely led me to the subjects I chose to study at university and the career path I'd like to follow. I was very lucky to have teachers and family members who were kind and supportive of my interests, in addition to being good communicators. When I think back to the positive experiences I had as a younger student, I hope that by becoming a teacher I can learn to guide and support others as my teachers once did for me! I also grew up an only child, so school was a really important place for me to interact with people my age and to make friends, and as I teacher I would want to make my classroom a place where students feel comfortable and safe to do so as well. While studying subjects like English and History might not always be a breeze, I find that I learn best by sharing ideas and telling stories: this is really another reason why I'd like to become a teacher, as I enjoy working with others and I believe I'd learn plenty from my future students, too. I already mentioned my love for reading, but I also love creating and appreciating different types of art. Even though I decided years ago that I wanted to become a high school teacher, I've also always dreamed of working in a creative field as an illustrator, a writer, or even a fashion designer! I'd also love to work at an art gallery or museum someday. In high school, I was interested in lots of different subjects, like visual arts, psychology, history, geography, and literature. I was able to take classes in these subjects in high school and this helped my transition to university because I knew which topics I wanted to explore and I had gotten some transfer credits from Advanced Placement classes. During my time in high school, I also helped out in clubs that were helped promote the arts, which was great because I had the chance to advertise events, help publish students' artwork, and participate in dance performances. Since I was interested in graphic design, photography, and writing, I also helped out with the yearbook and the school newspaper. I find that my experiences in high school helped my communication skills, and I learned that I wished to have a job where I would work with other people. I've lived in the Lower Mainland my whole life, and I remember when I first visited the UBC Vancouver campus as a Grade 8 student when I was participating in a science fair. I remember loving the campus and thinking it was beautiful, and that was definitely one of the reasons why I chose to apply to UBC! I graduated from high school in 2020, and because of the pandemic, I began my studies at UBC completely online. I took a lot of interesting courses, but I really loved what I had read and learned about in my English and History classes, so I chose an English Literature program and a minor in History. As I said before, I'd love to be able to teach these subjects to high school students in the future, so after finishing my undergraduate degree I'd like to enter a teacher education program. nan I've always had plenty of hobbies, and many of them are creative ones! I love reading, drawing, painting, photography, and writing fiction. I have also tried sewing and knitting, too. With my family, I especially enjoy cooking, baking, and gardening. For years, I took dance classes, and my favourite type of dance is ballet. I'm into art and fashion as well, and I can spend whole days window shopping, visiting art galleries, and checking out exhibits at museums.  nan I have an urban background She/Her/Hers nan nan Based on my experiences, I can give advice about studying, joining clubs and participating in extracurricular activities, preparing for university, time management, managing stress and academic struggles, interpersonal relationships, and living on your own. I have experience as a classroom assistant at a high school. Most of the time I helped out in Learning Support Services classrooms, where the environment was relaxed and the teachers and I focused on offering one-on-one support for students who had alternative learning needs, as well as students from various backgrounds, including international students and Indigenous students. I would tutor students in English, Social Studies, French, Career Education, and sometimes Geographical Science or Biology. Even though I helped them with schoolwork, I'd also chat with students about their interests or struggles. I found that we had many things in common, and I've always understood how important it is for teachers to be good listeners and to try to get to know students at an individual level.  nan A little bit more about myself: I was born in the Greater Vancouver area and I have always lived there, and I am East Asian. My parents moved to Canada when they were kids, so I am familiar with different East Asian cultures and I went to school in a diverse area. I can speak French since I was in a French immersion program during elementary school, and I continued to take French classes during high school. nan nan nan",mentor,"[('1047583027', 0.95, 'mentor'), ('1047581892', 0.95, 'mentor'), ('1047637319', 0.95, 'mentor'), ('1047582331', 0.94, 'mentor')]"
1047549750,"nan nan actress because its my passsion nan I'm consiering going into a film school after high school to study acting. My favorite subject tends to change every year, but one I tend to like most consistently is socials. This is because I like learning about the world and I dont find it challenging. I do karate, I go to the gym and i like hanging out with my friends. Urban (big city) nan she/her It dosen't matter to me. 0 nan I hope to get marks for this in my careers class. I would prefer to be matched with someone who has experience in the acting world. nan nan nan",mentee,"[('1047551648', 1.0, 'mentee'), ('1047548784', 1.0, 'mentor'), ('1047519534', 1.0, 'mentee'), ('1047585219', 1.0, 'mentee')]"
1047499328,"nan Alberni Secondary Surgeon nan Medical  Mountain Biking, Skiing far from other towns/cities (like yours!) nan , 1 , 0 , 1 nan nan nan nan nan nan",mentee,"[('1047499341', 1.0, 'mentee'), ('1047501471', 1.0, 'mentee'), ('1047487655', 1.0, 'mentor'), ('1047499348', 1.0, 'mentee')]"
15766,", 0 nan nan nan Planning 10 nan nan nan , 0 , 3 , 1 nan nan nan nan nan nan",mentee,"[('10716', 1.0, 'mentee'), ('15672', 1.0, 'mentee'), ('10698', 1.0, 'mentee'), ('10988', 1.0, 'mentor')]"
1047588327,"nan nan A career I'm interested in pursuing a career as a high school chemistry teacher or chemistry professor. I care more about teaching others than the amount of money I'd make. nan I'm thinking of going to school for a chemistry degree. I would like to study in Canada due to the benefits I have in this country and study in chemistry. My hobbies are playing sports like basketball, and badminton. I also enjoy playing video games. No preference nan He/Him nan nan nan I would like to learn where they got their motivation to pursue their career, and also if they had a big transition in moving into that part of life.  I would like a mentor that has gone through the steps into getting their chemistry degree like I hope to do. nan nan nan",mentee,"[('1047554104', 1.0, 'mentee'), ('1047513634', 1.0, 'mentor'), ('1047551648', 1.0, 'mentee'), ('1047548722', 1.0, 'mentor')]"
1047590672,"nan Hope Secondary - Cattrell if time grades and money didn't matter, I wouldn't have a job I would just abandon society and travel the globe full time and become a cowboy/hobo. nan I'm planning on going into trades and carpentry or construction. I'm unsure if I'm going to university but if I am then I don't know where but I would study trades. I'd probably just get a blue collar job that pays bills so I can pay for stuff id actually want to do. planning on getting a truck or a van and kinda travel for a long while. and maybe work odd jobs as I do that. I'm planning on going WWOOFing for a year or two after I graduate. I'm very outdoorsy and go hiking, traveling and backpacking a lot. I'm a metalhead and in the punk subculture so I'm very interested in music and I make and customize a lot of my clothes. I'm really into movies too, especially horror movies and my favorite horror movie is Vivarium. I also really like dungeons and dragons and i do that with my friends often. No preference nan no pref nan nan nan how to navigate university and how to study and write essays and school stuff. I would like a mentor who also has ADHD like me, so they can actually help me instead of stuff that wouldn't help because of my ADHD. nan nan nan",mentee,"[('1047595006', 0.98, 'mentee'), ('1047549055', 0.98, 'mentee'), ('1047639689', 0.97, 'mentee'), ('1047594511', 0.97, 'mentee')]"
1047498734,"nan Alberni Secondary something in trades nan biology biking, sking, hunting, fishing, Urban (big city) nan , 1 , 0 , 1 nan nan nan nan nan nan",mentee,"[('13431', 1.0, 'mentor'), ('13464', 1.0, 'mentor'), ('1047499337', 1.0, 'mentee'), ('1047501149', 1.0, 'mentor')]"
1047496782,"nan Tatla Lake School highschool councillor nan psychology with friends; when I am visiting the town I moved away from*, being outdoors, hiking exploring, and spending alot of time alone. far from other towns/cities (like yours!) nan , 0 , 0 , 2 nan nan nan nan nan nan",mentee,"[('1047499573', 1.0, 'mentee'), ('1047528838', 1.0, 'mentee'), ('1047498720', 1.0, 'mentee'), ('1047516882', 1.0, 'mentee')]"
1047586345,"BSc (Biochemistry, SFU). Medical student at UBC nan I am a medical student at UBC. I am pursuing a career as a medical doctor, subspecializing in medical oncology (cancer doctor) or hematology (blood doctor).In my first post-secondary degree (Bachelor of Science), I wanted to work in a lab as a scientist and do research in the life sciences. I have a background in science, so I was always interested in human biology and medicine. I also enjoyed speaking with people, so I wanted to pursue a career where I would be connecting with people. I also value doing things with my hands, so a career in medicine would allow me to do procedures occasionally. I enjoyed math, biology, chemistry, and physics in highschool, so I knew I wanted to pursue a science degree in post-secondary. I also wanted to stay in BC. I pursued a major in Biochemistry where I was able to combine my interest in both biology and chemistry.  nan I tend to ""doom-scroll"" on Instagram a lot during my spare time (it's so easy to keep scrolling and watch random reels). My favourite hobby, however, is playing guitar. I self-taught guitar during the COVID pandemic and I enjoy playing fingerstyle or jamming some tunes with my friends.  I am also a homebody and enjoy time alone at home. nan I have an urban background She/her/hers nan nan During high school, I was very lucky to have a group of friends to play volleyball with. We practiced every day after school and it was our coping method and motivation throughout high school. Not only did I develop great friendships, but I was also able to stay healthy! My group of friends and I also enjoyed volunteering at community events such as the Sun Run and participating in school clubs such as the yearbook club, Leo's club, and sports teams. nan I am currently a graduate student, so I've done many years of post-secondary education and I will continue to have many years of training in the future. The life of a student is not easy (low/minimal income, paying tuition, sleep-deprived)! nan nan nan",mentor,"[('1047594497', 0.96, 'mentee'), ('1047632077', 0.96, 'mentor'), ('1047583034', 0.95, 'mentor'), ('1047592068', 0.94, 'mentee')]"
1047513324,"UNBC, English Major nan Teaching/ professor/ Writer. I want to be in the teaching line especially in the area of Canadian Literature to explore its boundaries. nan Literature and Philosophy WRITING, PAINTING, NATURE OUTINGS Urban (big city) nan He/ him No preference 1 nan To guide students in dire needs of encouragement and motivation. To advice students The students from my local community is an asset, but it really does not matter nan nan nan",mentor,"[('1047541564', 1.0, 'mentee'), ('1047554026', 1.0, 'mentee'), ('1047592264', 1.0, 'mentee'), ('1047516620', 1.0, 'mentee')]"
1047593968,"nan nan chef nan chef i play video games and play d&d and go hikes Rural (a small town, far from other towns/cities (like yours!) nan he him nan nan nan helping me make a D&D campaign  idfk nan nan nan",mentee,"[('1047541056', 1.0, 'mentee'), ('1047516916', 1.0, 'mentee'), ('1047501363', 1.0, 'mentee'), ('1047513123', 1.0, 'mentee')]"
1047639733,"nan Alberni Secondary i am not really sure i want to be in business and i kind of want to be in real state or maybe a lawyer  nan either real state or getting my criminology degree  wakeboarding, snowboarding, wake surfing, figure skating  No preference nan she/her  nan I would like a mentor who has experienced traveling and has been in business.   nan I would like my mentor to help me with moving to a big city, living on my own, struggling with school again i am thinking of doing real state when i graduate but i am also thinking about being a lawyer   Once every two weeks Too busy nan",mentee,"[('1047541032', 1.0, 'mentee'), ('1047585219', 1.0, 'mentee'), ('1047640493', 1.0, 'mentee'), ('1047551648', 1.0, 'mentee')]"
1047585216,"nan Hope Secondary - Cattrell I have many interests so I guess I?ll put my top 5 to make it easier. 1. Cafe/coffee shop owner 2.Art teacher 3.Film Director 4. Holistic health doctor 5. Environmentalist nan I would love to study business, film, environmental science, biology and fine the fine arts. I don?t know exactly where I want to study but I have UVIC, UBC, Emily Carr or McGill university. My hobbies consist of weight lifting, practicing piano, photography, trying new art media, journaling, baking and cooking. As of recent, I?ve been interested in making a short film. No preference nan She/Her nan nan nan I would love to learn what mistakes I can avoid and what I can be doing for the next three years to set myself up for success! It would also be interesting to know what to expect when going to post secondary school.  I think it would be super cool to have a mentor who is currently studying any of the things that are related to what my career interests are. nan nan nan",mentee,"[('1047517757', 0.99, 'mentor'), ('1047594516', 0.99, 'mentee'), ('1047627201', 0.99, 'mentee'), ('1047639738', 0.99, 'mentee')]"
1047540973,nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan,mentee,"[('1047515114', 1.0, 'mentee'), ('1047503059', 1.0, 'mentee'), ('1047537906', 1.0, 'mentee'), ('1047516619', 1.0, 'mentee')]"
1047501363,"nan South Kamloops SS I would like to build computers for a living nan I studied to more understand technology to inform people I enjoy playing video games and building computers Rural (a small town nan , 1 , 4 , 1 nan nan nan nan nan nan",mentee,"[('1047498727', 1.0, 'mentee'), ('1047497874', 1.0, 'mentee'), ('1047501368', 1.0, 'mentee'), ('1047639691', 1.0, 'mentee')]"
1047541038,"nan nan Doing something outside with animals, or building my own vehicles nan Biology, chemistry, welding, history, I would like to have a career in the sciences, or in metal fabrication  Dirtbiking, skiing, skateboarding, being outside, working on machines Rural (a small town nan He/him Male 1 nan Problem solving, and learning skills to help me in my future endeavours  Someone who is older with experience in their field nan nan nan",mentee,"[('1047513309', 1.0, 'mentor'), ('1047585221', 1.0, 'mentee'), ('1047503436', 1.0, 'mentee'), ('1047541564', 1.0, 'mentee')]"
10353,"nan nan nan nan Physical Therapy; Rehabilitation Sciences nan nan nan nan , 2 , 1 nan nan nan nan nan nan",mentor,"[('11096', 1.0, 'mentor'), ('10694', 1.0, 'mentee'), ('10695', 1.0, 'mentee'), ('13440', 1.0, 'mentor')]"
1047498405,"University of British Columbia  nan Doctor nan I studied Microbiology and Immunology during post-secondary. Currently I am studying Medicine. I enjoy spending time with my friends by trying out new foods, and cooking new dishes. I also like to keep active by doing indoor cycling, kick boxing, and running. My favourite shows are Stranger Things, This is us, Grey's Anatomy, and Game of Thrones. Also, I like spending time in nature during the summer, like biking and hiking.  nan nan , 0 , 4 , 1 nan nan nan nan nan nan",mentor,"[('1047592264', 1.0, 'mentee'), ('1047541032', 1.0, 'mentee'), ('1047516620', 1.0, 'mentee'), ('1047499925', 1.0, 'mentor')]"
1047498727,"nan Alberni Secondary An English professor or a lawyer  nan I am interested in going to law school I hangout with my friends and do sports  Urban (big city) nan , 0 , 4 , 1 nan nan nan nan nan nan",mentee,"[('1047497874', 1.0, 'mentee'), ('1047501363', 1.0, 'mentee'), ('1047528838', 1.0, 'mentee'), ('1047639691', 1.0, 'mentee')]"
1047583034,"University of British Columbia. Combined major in science/general science (biology, chemistry, and earth & environmental science). Third year. nan I am interested in applying to medical school. I am also interested in environmental management and monitoring. Coming from a small town has primarily shaped my career goals. I am fully aware of the challenges that rural communities face in terms of receiving medical care, and I envision myself providing competent, empathetic care to these smaller communities in my career.  I was always passionate about science in high school. I decided to apply to UBC Vancouver because it is a prestigious school and is situated in a beautiful location. I entered UBC science in the 2020 fall session. I declared my combined major in science degree in my second year. I was always interested in this major because it allows for a lot of flexibility, and I am interested in all the subject areas I study.  nan Lots of my free time is spent watching, playing, and refereeing soccer. I have played since a young age and have never looked back. I enjoy watching the Whitecaps and the English Premier League. I also enjoy playing and watching basketball (especially the Raptors). Another of my hobbies is the outdoors (especially when I am back home). Bike riding, hiking, and fishing are things I get up to each summer.  nan I have a rural background He/him nan nan I will be able to give advice on the transition from high school to university. I struggled in my first semester of university, and there were some things I wish I had known. I'm in the third year of my degree now. I have a reasonably thorough grasp of the ins and outs of university. I would almost always have something to say when asked questions about courses, majors, finances, living away from home, and anything else.  nan I am Indigenous from the Gitga'at (Hartley Bay) First Nation. I spent lots of time in Hartley Bay during the summer since I was young. I am familiar with the circumstances around growing up as Indigenous. nan nan nan",mentor,"[('1047594497', 0.96, 'mentee'), ('1047586345', 0.95, 'mentor'), ('1047583600', 0.94, 'mentor'), ('1047592068', 0.94, 'mentee')]"
1047596810,nan Charles Hays Secondary - Ling i like woodworking bcause it seems easy and i think i'd do good in it just not the math part bcause im still working on it and also is kinda fun nan probably my math and maybe work alone to study so i can be more focust play sports and play games and hang out with friends talk on the phone go for a run and work out Urban (big city) nan he nan nan nan maybe my dad and my best friend my uncle and dad and some bullys nan nan nan,mentee,"[('1047584581', 0.99, 'mentee'), ('1047557268', 0.99, 'mentee'), ('1047592070', 0.99, 'mentee'), ('1047541039', 0.99, 'mentee')]"
